"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"1","Joel Embiid","Phi","C-F","29","62","34.7","37.2","14.7","737","0.856","1064","0.58","188","0.34","0.569","0.652","33.2","10.2","4.2","1.1","1.7","3.5","43.3","37.4","47.5","13","124.1","103.6"
"2","Luka Doncic","Dal","F-G","24.1","62","36.3","38.1","14.2","666","0.74","866","0.582","507","0.349","0.56","0.61","32.8","8.7","8.1","1.4","0.5","3.7","41.4","40.9","49.6","14.6","120.2","108.8"
"3","Damian Lillard","Por","G","32.7","58","36.3","33.9","13.7","558","0.914","544","0.574","658","0.371","0.564","0.645","32.2","4.8","7.3","0.9","0.3","3.3","36.9","39.5","44.3","11.5","126.8","116.9"
"4","Shai Gilgeous-Alexander","Okc","G-F","24.7","64","35.5","32.9","12.4","686","0.904","1144","0.532","157","0.35","0.532","0.625","31.3","4.8","5.4","1.7","1","2.9","36.1","36.7","41.5","10.5","124.3","109.9"
"5","Giannis Antetokounmpo","Mil","F","28.3","61","32.1","38.8","15.9","742","0.648","1076","0.593","170","0.276","0.569","0.604","31.1","11.8","5.6","0.8","0.8","3.9","42.9","36.7","48.5","15.8","116.9","100.4"
"6","Jayson Tatum","Bos","F-G","25.1","71","37.2","32.8","12.1","597","0.856","845","0.554","665","0.35","0.541","0.605","30.2","8.9","4.6","1","0.7","2.9","39.1","34.9","43.7","11.5","118.1","107"
"7","Kevin Durant","Bro","F","34.5","39","36","31.5","15.6","285","0.937","545","0.622","189","0.376","0.607","0.674","29.7","6.7","5.3","0.8","1.5","3.5","36.4","35","41.7","11.3","122.5","110.8"
"8","Stephen Curry","Gol","G","35","51","34.9","31","14.1","258","0.911","446","0.587","584","0.428","0.618","0.66","29.6","6.3","6.4","1","0.3","3.3","35.8","35.9","42.2","12.2","123","111.9"
"9","LeBron James","Lal","F","38.2","49","35.8","33.3","12.5","307","0.765","760","0.588","330","0.306","0.549","0.584","29.2","8.4","6.8","0.9","0.5","3.2","37.6","36","44.4","13.3","114.9","110.1"
"10","Devin Booker","Pho","G","26.4","49","34.6","32.1","11.7","329","0.848","713","0.551","287","0.366","0.551","0.603","28.2","4.6","5.4","0.9","0.4","2.7","32.8","33.6","38.2","10.3","119.2","109.1"
"11","Donovan Mitchell","Cle","G","26.6","65","35.6","31.9","11.2","342","0.871","723","0.557","608","0.38","0.563","0.606","27.6","4.2","4.5","1.5","0.4","2.6","31.9","32.1","36.3","9","118.1","107.1"
"12","Kyrie Irving","Bro","G","31","40","36.9","29.7","10","179","0.883","471","0.569","348","0.374","0.565","0.604","27.1","5.1","5.3","1","0.8","2.3","32.2","32.4","37.5","9.8","118.1","111.8"
"13","Jaylen Brown","Bos","G-F","26.4","65","35.9","31.4","12.5","340","0.768","862","0.58","473","0.342","0.557","0.588","26.9","6.9","3.4","1.1","0.4","2.9","33.7","30.3","37.2","9.6","110.9","106.5"
"14","Ja Morant","Mem","G","23.6","57","32.1","35.5","14.2","483","0.754","879","0.515","285","0.309","0.503","0.557","26.9","5.8","8.1","1.1","0.3","3.4","32.7","35","40.8","13.5","114.7","109.2"
"15","Mikal Bridges","Bro","F","26.6","21","35","29","9.1","141","0.908","243","0.535","137","0.423","0.571","0.636","26.8","4.6","2.7","0.9","0.7","1.8","31.4","29.5","34.1","7.9","122.4","114.8"
"16","Trae Young","Atl","G","24.5","69","34.6","33","17.5","595","0.884","890","0.475","440","0.345","0.489","0.574","26.5","3","10","1.1","0.1","4.1","29.5","36.4","39.5","10.7","116.3","117.3"
"17","Anthony Davis","Lal","F-C","30.1","50","33.9","28.6","11.5","397","0.786","790","0.592","70","0.271","0.577","0.631","26.1","12.4","2.6","1","2","2.2","38.5","28.7","41.1","11.1","124.5","104.6"
"18","Kyrie Irving","Dal","G","31","17","37.2","27.6","9.2","83","0.94","189","0.571","128","0.391","0.577","0.628","26.1","5.2","5.9","1.2","0.6","1.9","31.3","32","37.2","10","127","111.5"
"19","Zion Williamson","Nor","F","22.7","29","33","30.3","17.4","248","0.714","450","0.618","19","0.368","0.615","0.652","26","7","4.6","1.1","0.6","3.4","33","30.6","37.6","11.4","120.2","108"
"20","Lauri Markkanen","Uta","F-C","25.9","65","34.4","26.5","10","393","0.873","621","0.586","503","0.396","0.589","0.643","25.7","8.6","1.9","0.6","0.6","1.9","34.3","27.5","36.2","8.7","126.1","112.8"
"21","De'Aaron Fox","Sac","G","25.3","68","33.7","29.9","12.3","419","0.773","898","0.584","340","0.335","0.561","0.603","25.2","4.1","6.1","1.2","0.3","2.5","29.4","31.3","35.4","10.2","119.1","111.7"
"22","Julius Randle","Nyk","F-C","28.3","77","35.5","29.6","13.1","531","0.757","796","0.553","636","0.343","0.536","0.581","25.1","10","4.1","0.6","0.3","2.8","35.1","29.2","39.2","11.4","116.8","106"
"23","Zach LaVine","Chi","G-F","28.1","72","36.2","28.2","12.8","402","0.848","788","0.553","510","0.382","0.561","0.61","25","4.6","4.2","0.9","0.2","2.6","29.5","29.1","33.7","8.7","115.5","111.4"
"24","DeMar DeRozan","Chi","G-F","33.6","69","36.5","27.8","10.8","498","0.867","1091","0.53","127","0.339","0.528","0.597","24.9","4.7","5.1","1.1","0.5","2.1","29.6","30","34.7","9.2","119.4","109.6"
"25","Nikola Jokic","Den","C","28.1","67","33.9","27.3","19","412","0.823","858","0.676","146","0.39","0.663","0.704","24.9","11.9","9.9","1.2","0.7","3.5","36.8","34.8","46.7","16.9","136","105.6"
