GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2022-12-22,22200477,Final,Pelicans,Spurs,2022,Pelicans,126,0.484,0.926,0.382,25,46,Spurs,117,0.478,0.815,0.321,23,44,1
2022-12-22,22200478,Final,Jazz,Wizards,2022,Jazz,120,0.488,0.952,0.457,16,40,Wizards,112,0.561,0.765,0.333,20,37,1
2022-12-21,22200466,Final,Cavaliers,Bucks,2022,Cavaliers,114,0.482,0.786,0.313,22,37,Bucks,106,0.47,0.682,0.433,20,46,1
2022-12-21,22200467,Final,76ers,Pistons,2022,76ers,113,0.441,0.909,0.297,27,49,Pistons,93,0.392,0.735,0.261,15,46,1
2022-12-21,22200468,Final,Hawks,Bulls,2022,Hawks,108,0.429,1.0,0.378,22,47,Bulls,110,0.5,0.773,0.292,20,47,0
2022-12-21,22200469,Final,Celtics,Pacers,2022,Celtics,112,0.386,0.84,0.317,26,62,Pacers,117,0.469,0.778,0.462,27,47,0
2022-12-21,22200470,Final,Nets,Warriors,2022,Nets,143,0.643,0.875,0.636,42,32,Warriors,113,0.494,0.76,0.364,32,36,1
2022-12-21,22200471,Final,Knicks,Raptors,2022,Knicks,106,0.553,0.611,0.423,25,38,Raptors,113,0.447,0.909,0.265,17,38,0
2022-12-21,22200472,Final,Rockets,Magic,2022,Rockets,110,0.466,0.647,0.395,22,49,Magic,116,0.451,0.697,0.297,19,45,0
2022-12-21,22200473,Final,Timberwolves,Mavericks,2022,Timberwolves,99,0.494,0.7,0.267,23,39,Mavericks,104,0.453,0.852,0.333,17,39,0
2022-12-21,22200474,Final,Thunder,Trail Blazers,2022,Thunder,101,0.468,0.84,0.333,19,37,Trail Blazers,98,0.494,0.667,0.389,29,36,1
2022-12-21,22200475,Final,Kings,Lakers,2022,Kings,134,0.505,0.75,0.362,29,46,Lakers,120,0.5,0.833,0.458,25,39,1
2022-12-21,22200476,Final,Clippers,Hornets,2022,Clippers,126,0.506,0.913,0.469,29,48,Hornets,105,0.402,0.759,0.29,25,40,1
